Name,Popularity,Album,Release,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Tempo,Instrumentalness,Valence,Duration
UN DIA (ONE DAY) (Feat. Tainy),81,UN DIA (ONE DAY) (Feat. Tainy),2020-07-24,0.571,0.693,6,-8.234,0.0545,0.00536,168.169,0.0,0.393,232.253
Diles,79,Diles,2016-08-26,0.813,0.56,2,-5.904,0.0618,0.108,118.033,0.0,0.287,286.041
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),72,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),2016-09-30,0.815,0.514,6,-9.446,0.361,0.54,120.054,0.0,0.623,264.0
Soy Peor,75,Soy Peor,2016-12-08,0.808,0.611,0,-3.221,0.0663,0.683,116.011,0.00638,0.172,257.384
Caile,66,Caile,2016-12-25,0.769,0.701,1,-1.971,0.0747,0.167,130.011,1.31e-06,0.349,299.195
Pa Ti,72,Pa Ti,2017-01-02,0.76,0.718,1,-3.017,0.232,0.348,128.14,0.0,0.557,191.295
No Te Hagas,70,No Te Hagas,2017-03-11,0.748,0.69,0,-3.812,0.0477,0.0353,131.972,0.0,0.433,233.251
Me Mata,71,Me Mata,2017-04-11,0.841,0.53,9,-11.467,0.205,0.551,114.028,0.0,0.686,412.632
Ahora Me Llama,59,Ahora Me Llama,2017-05-26,0.652,0.577,7,-5.273,0.0373,0.00947,134.987,4.02e-05,0.123,233.293
Netflixxx,67,Netflixxx,2017-06-30,0.707,0.609,6,-5.673,0.126,0.711,134.91,0.0,0.579,218.909
Mayores,68,Mayores,2017-07-14,0.743,0.855,5,-3.976,0.0436,0.141,96.989,0.0045,0.871,202.453
Báilame - Remix,54,Báilame (Remix),2017-07-31,0.791,0.866,6,-4.236,0.0497,0.248,96.011,5.29e-06,0.71,217.08
Vuelve,72,Vuelve,2017-09-29,0.734,0.531,1,-5.662,0.0321,0.196,130.024,0.0,0.199,279.613
Chambea,68,Chambea,2017-12-01,0.856,0.866,0,-3.494,0.159,0.228,116.005,0.00154,0.638,192.001
Favorito De Los Capo - Remix,43,Favorito De Los Capo (Remix),2017-12-23,0.649,0.766,6,-3.75,0.149,0.187,159.943,0.0,0.458,278.872
Amorfoda,77,Amorfoda,2018-02-15,0.749,0.418,9,-7.925,0.0587,0.985,147.887,0.000126,0.307,153.887
Dime Si Te Acuerdas,69,Dime Si Te Acuerdas,2018-02-22,0.74,0.595,1,-9.082,0.0623,0.486,131.96,0.0,0.316,187.273
Dime,58,Dime,2018-03-23,0.772,0.66,11,-5.067,0.115,0.369,135.956,0.0,0.422,284.627
Te Boté - Remix,78,Te Boté (Remix),2018-04-13,0.903,0.675,11,-3.445,0.214,0.542,96.507,1.28e-05,0.442,417.92
